row_names,topic,term,beta
103,11,WordGame.category,0.1100308371823703
104,11,Paper.and.Pencil.mechanic,0.0604758890938716
105,11,Partnerships.mechanic,0.0545508409528554
106,11,Acting.mechanic,0.0530695789176014
107,11,Storytelling.mechanic,0.0422967641157538
108,11,Voting.mechanic,0.0366410363447839
109,11,Mature.Adult.category,0.0264068622830287
110,11,LineDrawing.mechanic,0.0215590956221973
111,12,CardGame.category,0.2974923956862801
112,12,HandManagement.mechanic,0.1828091571946267
113,12,SetCollection.mechanic,0.1547204959904527
114,12,CardDrafting.mechanic,0.110913827480316
115,12,Humor.category,0.0439667593252899
116,12,TakeThat.mechanic,0.0071458718400256
117,12,Fluxx.family,0.0032163700135349
118,12,UNO.family,0.0030708329088501
119,12,Co.operativePlay.mechanic,0.0029252958041652
120,12,Print.Play.category,0.0027797586994804
121,13,Animals.category,0.2263384892035795
122,13,Children.sGame.category,0.2093395709529227
123,13,Farming.category,0.0320450682064033
124,13,Environmental.category,0.0261446172433655
125,13,Prehistoric.category,0.0251612087495258
126,13,Animals.Dogs.family,0.0191202708587965
127,13,Animals.Cats.family,0.0181368623649569
128,13,Animals.Dinosaurs.family,0.0144842022449811
129,13,Animals.Mice.family,0.0137817676065242
130,13,Animals.Apes.Monkeys.family,0.0129388460403759
131,14,SimultaneousActionSelection.mechanic,0.1918402908173228
132,14,Nautical.category,0.1126766910516591
133,14,Admin.BetterDescriptionNeeded..family,0.1047152664072944
134,14,DiceRolling.mechanic,0.087590692643944
135,14,Pirates.category,0.055895209625813
136,14,PointtoPointMovement.mechanic,0.0422255937269982
137,14,Action.MovementProgramming.mechanic,0.0419251626083429
138,14,AmericanWest.category,0.0371182647098586
139,14,SecretUnitDeployment.mechanic,0.030358564540115
140,14,Rock.Paper.Scissors.mechanic,0.0267533911162518
141,15,Fantasy.category,0.1783483109949546
142,15,VariablePlayerPowers.mechanic,0.1336249668068929
143,15,Fighting.category,0.1116825760646252
144,15,Co.operativePlay.mechanic,0.1009210213693728
145,15,Horror.category,0.0978462914564436
146,15,Novel.based.category,0.0534024681695573
147,15,Zombies.category,0.0325781610319911
148,15,Monsters.family,0.0241925339967295
149,15,ActionPointAllowanceSystem.mechanic,0.0206985227320372
150,15,ModularBoard.mechanic,0.0166454696649942
151,16,Crowdfunding.Kickstarter.family,0.3065583849244362
152,16,CardGame.category,0.0943795484765731
153,16,Admin.UnreleasedGames.family,0.0933787049084228
154,16,HandManagement.mechanic,0.0795098726069115
155,16,TakeThat.mechanic,0.0769362748602393
156,16,Deck.PoolBuilding.mechanic,0.0646401967372499
157,16,PlayerElimination.mechanic,0.0386182639653422
158,16,CardDrafting.mechanic,0.0293247165468037
159,16,Co.operativePlay.mechanic,0.0105946440571338
160,16,Crowdfunding.Spieleschmiede.family,0.0094508228363906
161,17,Wargame.category,0.2578362505012871
162,17,WorldWarII.category,0.2163102676550109
163,17,Hex.and.Counter.mechanic,0.1906961100115134
164,17,Simulation.mechanic,0.0575801089248521
165,17,Country.Russia.family,0.0168303126738334
166,17,Chit.PullSystem.mechanic,0.0116557353721167
167,17,Magazine.AgainstTheOdds.family,0.008162895693458
168,17,Country.France.family,0.0068692513680288
169,17,Country.Poland.family,0.0068692513680288
170,17,WorldWar2.BattleoftheBulge.family,0.0068692513680288
171,18,Memory.mechanic,0.2060145532276247
172,18,Educational.category,0.1547707939854467
173,18,Memory.category,0.1461325602846225
174,18,Children.sGame.category,0.1095298751116382
175,18,Math.category,0.0427665773561148
176,18,Number.category,0.0392527195795083
177,18,Religious.category,0.0215370199557839
178,18,Roll.SpinandMove.mechanic,0.0197800910674807
179,18,Travel.category,0.0130451969956516
180,18,PatternRecognition.mechanic,0.0117275003294241
181,19,Adventure.category,0.1577277227051436
182,19,Fantasy.category,0.148099429082871
183,19,ModularBoard.mechanic,0.1311482079168983
184,19,Exploration.category,0.1114847913643698
185,19,Co.operativePlay.mechanic,0.0604955180971237
186,19,GridMovement.mechanic,0.0465277118563621
187,19,RolePlaying.mechanic,0.0458496630097232
188,19,Fighting.category,0.0310681981529949
189,19,Maze.category,0.0294408809210615
190,19,VariablePlayerPowers.mechanic,0.0274067343811448
191,20,DiceRolling.mechanic,0.4026501540952407
192,20,Dice.category,0.3256735453267245
193,20,PressYourLuck.mechanic,0.0960219283918705
194,20,Lettercubegames.family,0.0037068071750152
195,20,Yacht.family,0.0027126443311414
196,20,000games.family,0.0020025280140887
197,20,Yahtzee.family,0.0018605047506781
198,20,Dice10.family,0.0017184814872676
199,20,Nautical.category,0.001576458223857
200,20,Animals.Butterflies.family,0.0014344349604465
201,21,Movies.TV.Radiotheme.category,0.2409341920407283
202,21,Roll.SpinandMove.mechanic,0.2218775646464786
203,21,Trivia.category,0.1750010432460252
204,21,Novel.based.category,0.028529301303362
205,21,Celebrities.WaltDisney.family,0.0258864113727726
206,21,Music.category,0.0219916262119041
207,21,StarWars.family,0.0154539511204462
208,21,Electronic.category,0.0148975532403221
209,21,TrivialPursuit.family,0.0135065585400119
210,21,DVDBoardGames.family,0.0121155638397017
211,22,AreaControl.AreaInfluence.mechanic,0.180052713706875
212,22,Medieval.category,0.1188156462674237
213,22,Political.category,0.0790836731750173
214,22,AreaMovement.mechanic,0.0630859810388009
215,22,CityBuilding.category,0.060463408557454
216,22,TerritoryBuilding.category,0.0592832509408478
217,22,WorkerPlacement.mechanic,0.0560050353391641
218,22,Civilization.category,0.0424987870602273
219,22,Renaissance.category,0.0351555841124559
220,22,VariablePhaseOrder.mechanic,0.021649335833519
221,23,Racing.category,0.1638844746395299
222,23,Sports.category,0.1533874706594159
223,23,DiceRolling.mechanic,0.0855943199545129
224,23,Roll.SpinandMove.mechanic,0.0844279861789447
225,23,Simulation.mechanic,0.0497295563557901
226,23,Betting.Wagering.mechanic,0.0398157192634602
227,23,Sports.Football.Soccer.family,0.0264028808444256
228,23,Dice.category,0.0261112974005335
229,23,Sports.AutoRacing.family,0.0239244215713431
230,23,Sports.Baseball.family,0.0148853348106894
231,24,AbstractStrategy.category,0.346259871356088
232,24,TilePlacement.mechanic,0.166877521940046
233,24,PatternBuilding.mechanic,0.1061512032067757
234,24,GridMovement.mechanic,0.0543473918312447
235,24,Combinatorial.family,0.0384999533898869
236,24,AreaEnclosure.mechanic,0.0375677511286306
237,24,MensaSelect.family,0.0162602708713427
238,24,Puzzle.category,0.0149285533552622
239,24,ChessGames.family,0.0119987748198852
240,24,LooneyPyramids.family,0.0098680267941564
241,25,CardGame.category,0.2994684511868328
242,25,HandManagement.mechanic,0.1651901421856466
243,25,CardDrafting.mechanic,0.1297535546411679
244,25,SetCollection.mechanic,0.066787717268747
245,25,Humor.category,0.0512659061955455
246,25,Admin.BetterDescriptionNeeded..family,0.0490694234965076
247,25,Bluffing.category,0.015536454291195
248,25,PointtoPointMovement.mechanic,0.0085077096542736
249,25,FantasyFlightSilverLineGames.family,0.0045540407960053
250,25,Pirates.category,0.0039683120762618
